"file","subject","time","condition","SMS5_1","SMS5_2","SMS5_3","SMS5_4","SMS5_5","P0_Q1","P0_Q2","P0_Q3","ITW_1","ITW_2","ITW_3","ITW_4","ITW_5","ITW_6","posimgs","age","gender","pics","SMS5_2r","SMS5_4r","ITW_3r","ITW_4r","ITW_6r","SMS5","SVS","ITW","ITW_group","stimulus","qbit","accuracy","Q0","autonomie1","autonomie2","autonomie3","BF"
153,"fgsmqt2mcxoow4uh","2023-09-08T15:35:47Z","save",3,2,2,2,3,4,3,3,4,4,2,1,3,1,8,32,"weiblich",10,4,4,3,4,4,3.2,3.333333333333333,3.666666666666667,"high",NA,NA,NA,NA,NA,NA,NA,1.9437503541456893
155,"34sxsgu2rbo7yjut","2023-09-08T15:47:26Z","save",3,4,3,2,3,8,6,6,4,3,1,2,3,2,15,28,"weiblich",6,2,4,4,3,3,3,6.666666666666667,3.333333333333333,"high",NA,NA,NA,NA,NA,NA,NA,1.5763460786173251
156,"oole4f8v0jy3gmdo","2023-09-08T15:57:10Z","save",0,4,1,5,0,5,5,7,1,3,4,4,1,4,20,43,"weiblich",11,2,1,1,1,1,0.8,5.666666666666667,1.333333333333333,"low",NA,NA,NA,NA,NA,NA,NA,1.6443110448658018
158,"st9dphtryq7ay9lm","2023-09-08T17:06:51Z","save",4,2,3,1,1,2,2,4,2,4,2,3,4,1,8,29,"weiblich",10,4,5,3,2,4,3.4,2.666666666666667,3.166666666666667,"high",NA,NA,NA,NA,NA,NA,NA,1.6435686015598907
160,"4lhead63xj3omq67","2023-09-08T19:22:21Z","save",1,3,4,1,4,5,3,5,4,4,3,1,3,2,14,40,"weiblich",10,3,5,2,4,3,3.4,4.333333333333333,3.333333333333333,"high",NA,NA,NA,NA,NA,NA,NA,1.6428146569312954
161,"vuxdhjn8sqfq58eu","2023-09-08T19:22:59Z","save",3,1,6,0,6,1,1,1,4,1,2,0,5,5,5,43,"weiblich",12,5,6,3,5,0,5.2,1,3,"high",NA,NA,NA,NA,NA,NA,NA,1.788857510935059
163,"709xmjh0yyeorwey","2023-09-08T20:19:49Z","save",0,4,0,4,0,5,5,5,1,1,4,4,1,4,13,43,"weiblich",13,2,2,1,1,1,0.8,5,1,"low",NA,NA,NA,NA,NA,NA,NA,2.035437469561155
164,"rum2m7zp0xb5z1l7","2023-09-09T04:31:46Z","save",0,5,0,5,0,8,8,8,2,2,3,3,3,3,10,51,"weiblich",10,1,1,2,2,2,0.4,8,2.166666666666667,"low",NA,NA,NA,NA,NA,NA,NA,2.0353131965710007
166,"tou934apylhuh5bz","2023-09-09T06:43:02Z","save",0,6,0,6,0,10,10,10,5,5,2,2,5,2,11,48,"männlich",9,0,0,3,3,3,0,10,4,"high",NA,NA,NA,NA,NA,NA,NA,1.9346663847954753
167,"brc9kk475nenh16v","2023-09-09T06:57:16Z","save",0,5,0,6,0,8,10,9,1,5,4,4,0,4,13,17,"männlich",13,1,0,1,1,1,0.2,9,1.5,"low",NA,NA,NA,NA,NA,NA,NA,2.210614790212234
173,"qsusr5njtmq219zq","2023-09-09T09:01:41Z","save",0,5,3,4,0,3,3,3,4,4,3,4,1,4,6,33,"männlich",10,1,2,2,1,1,1.2,3,2.166666666666667,"low",NA,NA,NA,NA,NA,NA,NA,2.2107300963827305
174,"7aagb2bfa4kmf7fa","2023-09-09T09:08:30Z","save",0,6,0,4,0,7,7,7,4,3,3,2,2,2,7,32,"weiblich",11,0,2,2,3,3,0.4,7,2.833333333333333,"high",NA,NA,NA,NA,NA,NA,NA,2.3240704154408176
175,"tkt0f63trddfbsnh","2023-09-09T09:14:13Z","save",0,6,0,3,0,10,10,10,5,5,5,3,5,1,17,25,"weiblich",10,0,3,0,2,4,0.6,10,3.5,"high",NA,NA,NA,NA,NA,NA,NA,2.3243311454269207
176,"yzgfdehohvwzjflh","2023-09-09T09:45:52Z","save",1,5,4,1,5,9,3,9,1,0,1,5,1,4,10,72,"weiblich",11,1,5,4,0,1,3.2,7,1.166666666666667,"low",NA,NA,NA,NA,NA,NA,NA,2.4466046755914848
179,"vks12go6tk37zg55","2023-09-09T12:53:18Z","save",1,6,0,3,0,10,10,10,1,3,5,2,1,3,10,45,"männlich",10,0,3,0,3,2,0.8,10,1.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,2.447019947274005
182,"7lcfx142vw86fefg","2023-09-09T14:22:18Z","save",0,6,0,6,0,10,10,10,3,3,5,4,2,4,14,51,"weiblich",11,0,0,0,1,1,0,10,1.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,2.579074488281528
183,"v7lhe6ovm4pc4u4n","2023-09-09T15:31:43Z","save",4,6,4,4,4,6,6,8,1,1,5,5,4,5,10,48,"weiblich",8,0,2,0,0,0,2.8,6.666666666666667,1,"low",NA,NA,NA,NA,NA,NA,NA,2.2982003679999123
185,"zw79x6ubxu1hb3yh","2023-09-10T07:57:51Z","save",0,4,0,4,0,6,6,7,2,2,3,3,2,3,9,41,"weiblich",8,2,2,2,2,2,0.8,6.333333333333333,2,"low",NA,NA,NA,NA,NA,NA,NA,2.0602378497698917
187,"v745dv0l16uujo56","2023-09-10T09:33:21Z","save",0,6,0,3,0,5,5,5,3,4,3,1,3,3,15,33,"weiblich",15,0,3,2,4,2,0.6,5,3,"high",NA,NA,NA,NA,NA,NA,NA,2.544973421096306
189,"52te8gykwb0v1gbd","2023-09-10T12:47:08Z","save",0,6,0,5,0,5,5,5,2,2,0,1,1,2,7,32,"weiblich",7,0,1,5,4,3,0.2,5,2.833333333333333,"high",NA,NA,NA,NA,NA,NA,NA,2.145620181562158
193,"6gfupzzeovsszqn2","2023-09-10T17:57:03Z","save",6,0,6,0,6,2,2,2,3,3,2,3,3,2,12,40,"männlich",11,6,6,3,2,3,6,2,2.833333333333333,"high",NA,NA,NA,NA,NA,NA,NA,2.2513584359643968
194,"gss7d5le89jehlgn","2023-09-10T18:38:25Z","save",0,3,4,2,3,5,1,7,4,4,4,2,4,1,14,36,"männlich",14,3,4,1,3,4,2.8,4.333333333333333,3.333333333333333,"high",NA,NA,NA,NA,NA,NA,NA,2.6905245336422894
