"X","subject_id","date","session","sums","sumsnosave","nosavedel","age","sex","QL1","QL2","QL3","QL4","QL5","QL6","ssum2","ssum1","osave.bf","ssave.bf","snosave.bf","BF"
162,"31efbde4-1c85-f7e9-70f1-8ac430732736","2020-10-15 14:42:39",157,7,11,0,54,"männlich",6,5,5,5,3,3,11,7,0.360682655251792,0.329256690310015,0.599040652055759,0.30059578092337963
163,"a9cb5bec-05a5-2a09-2df9-6ce000273f3e","2020-10-15 14:43:41",158,9,NA,1,51,"weiblich",5,6,5,6,4,0,13,9,0.353049257671796,0.32328492766546,0.634873073881544,0.2951134685848238
164,"d8a01d33-0a8d-5470-3f26-2a8b1728a7cd","2020-10-15 14:45:47",159,9,NA,1,22,"männlich",4,2,4,3,5,3,13,9,0.345630081254389,0.317454908585696,0.673694376156634,0.28978665243069934
165,"2fd7c47e-3ab9-8ea3-486b-f3fc86cc19ac","2020-10-15 14:50:03",160,6,12,0,72,"männlich",4,4,4,4,3,2,12,6,0.321786977396133,0.298922261997932,0.701153490812939,0.27266232763911086
166,"7f808915-ea8d-65a6-d800-beaba0a482d4","2020-10-15 14:53:37",161,10,NA,1,31,"weiblich",3,6,4,4,4,3,4,4,0.320919204880346,0.275640584089606,0.617876750361441,0.2720425356135455
167,"314b73bf-20a0-27f3-1faa-44608df45577","2020-10-15 14:56:12",162,8,11,0,57,"männlich",4,5,4,5,3,3,8,11,0.30920069837707,0.278906549944476,0.592999305092749,0.26362208907579304
168,"445cbb3a-e473-ecae-082f-8c77e03b93e8","2020-10-15 14:56:26",163,6,NA,1,52,"männlich",4,5,4,4,4,3,12,6,0.289246388384851,0.263979190879755,0.615563094793091,0.2492595891316436
169,"da4471bb-c78e-012f-a2ae-466f6c0d4542","2020-10-15 15:00:41",165,11,NA,1,19,"weiblich",4,2,4,4,0,3,9,11,0.293525705761834,0.26700968241655,0.602483041113904,0.2523499953385766
170,"65a47d86-49e6-37b0-3b93-4a8f31506a54","2020-10-15 15:04:21",170,9,NA,1,57,"männlich",4,3,4,4,1,3,10,9,0.287849933668758,0.262616485951394,0.601422570561637,0.2482656164323455
171,"e4063b9c-b74a-735e-9989-0c2daa290c65","2020-10-15 15:05:55",171,8,NA,1,57,"weiblich",3,4,4,3,0,3,10,8,0.277916293968239,0.25500473369736,0.600367013500612,0.24110443630065492
172,"acdaaa22-37c5-e0f7-4537-9df189b314f0","2020-10-15 15:08:54",174,10,NA,1,61,"männlich",3,1,1,5,1,1,11,10,0.277143670042415,0.254272298959573,0.611280745196441,0.2405535251703325
173,"62dd5452-1924-2547-3b47-63f6f3a91380","2020-10-15 15:22:00",166,12,8,0,43,"weiblich",3,0,4,4,0,0,8,12,0.286302611834765,0.260991133134576,0.586571635747936,0.2471698305196394
174,"c3cfb6ac-0bd6-c62a-29b9-81e477bb017e","2020-10-15 15:25:05",167,9,NA,1,77,"männlich",4,4,5,5,3,2,15,9,0.280814776350397,0.256730893071392,0.646119951115088,0.24321810744464198
